id_mutation,lot_numero,surface_carrez
2020-814508,4,11.81
2020-814509,30,5.7
2020-814509,31,11.03
2020-814510,5,23.05
2020-814514,18,144.04
2020-814520,4,71.5
2020-814522,20,24.32
2020-814526,51,7.75
2020-814527,114,55.09
2020-814528,16,49.74
2020-814529,112,139.51
2020-814530,105,80.75
2020-814532,6,104.3
2020-814534,4,75.29
2020-814535,10,6.26
2020-814537,36,21.55
2020-814537,38,21.55
2020-814538,7,33.51
2020-814539,113,106.33
2020-814539,113,106.33
2020-814540,18,50.02
2020-814541,19,53.93
2020-814542,47,99.48
2020-814543,46,10.17
2020-814544,21,30.47
2020-814551,14,35.5
2020-814554,230,2.2
2020-814555,14,2.0
2020-814556,48,6.2
2020-814557,9,3.24
2020-814558,1,35.18
2020-814559,18,8.61
2020-814560,61,18.86
2020-814561,14,117.44
2020-814564,17,76.55
2020-814565,12,30.4
2020-814569,25,51.06
2020-814570,9,40.17
2020-814571,3,59.18
2020-814572,49,98.4
2020-814573,8,70.77
2020-814577,6,32.55
2020-814578,36,60.03
2020-814579,11,42.6
2020-814581,2,127.62
2020-814584,110,234.05
2020-814587,44,13.01
2020-814588,7,25.01
2020-814590,30,4.73
2020-814594,15,39.85
2020-814596,1,16.01
2020-814599,2,85.1
2020-814600,4,90.48
2020-814601,56,38.15
2020-814602,58,12.35
2020-814602,14,161.6
2020-814602,56,7.91
2020-814603,4,31.17
2020-814605,8,88.15
2020-814606,23,72.76
2020-814607,240,40.02
2020-814609,29,6.05
2020-814609,22,12.9
2020-814610,16,78.02
2020-814611,27,18.76
2020-814613,28,44.9
2020-814614,4,100.82
2020-814615,120,18.51
2020-814616,4,142.7
2020-814617,1,104.1
2020-814617,1,104.1
2020-814618,11,191.53
2020-814620,20,61.72
2020-814623,42,73.7
2020-814626,9,23.76
2020-814627,43,41.42
2020-814628,123,93.59
2020-814629,1,100.18
2020-814630,8,40.41
2020-814634,15,45.25
2020-814635,56,67.5
2020-814640,16,169.26
2020-814641,20,49.02
2020-814643,22,9.14
2020-814643,35,9.36
2020-814648,121,121.11
2020-814649,23,95.02
2020-814649,33,7.22
2020-814650,17,46.62
2020-814655,39,51.04
2020-814656,10,27.03
2020-814657,12,26.38
2020-814658,26,46.73
2020-814659,14,10.2
2020-814660,12,51.8
2020-814661,62,18.69
2020-814662,24,12.08
2020-814663,52,21.98
2020-814664,1,35.7
2020-814665,51,6.51
2020-814667,14,94.38
2020-814668,127,79.33
2020-814669,326,131.45
2020-814670,20,46.44
2020-814671,6027,27.09
2020-814672,41,172.32
2020-814673,12,192.98
2020-814673,12,192.98
2020-814675,53,16.84
2020-814676,32,14.18
2020-814677,16,43.55
2020-814678,23,31.83
2020-814680,33,234.72
2020-814683,3,120.46
2020-814684,13,19.2
2020-814686,14,83.56
2020-814687,82,74.46
2020-814689,1,38.78
2020-814690,10,22.67
2020-814691,4,31.57
2020-814697,14,46.24
2020-814697,14,46.24
2020-814697,14,46.24
2020-814697,14,46.24
2020-814698,16,131.88
2020-814701,25,12.48
2020-814702,30,4.5
2020-814703,15,43.19
2020-814705,1,76.0
2020-814706,50,51.4
2020-814707,22,25.4
2020-814710,411,6.91
2020-814710,402,8.58
2020-814710,409,8.18
2020-814710,410,7.93
2020-814710,401,8.52
2020-814711,14,11.2
2020-814712,99,32.24
2020-814714,128,101.79
2020-814716,6,389.76
2020-814717,102,180.92
2020-814719,17,27.03
2020-814722,27,43.76
2020-814723,17,31.99
2020-814725,109,56.24
2020-814727,1,53.17
2020-814728,47,11.18
2020-814728,19,176.13
2020-814732,4,12.02
2020-814733,18,17.82
2020-814735,103,32.3
2020-814736,841,9.44
2020-814738,70,11.5
2020-814741,81,8.5
2020-814745,19,138.61
2020-814746,56,70.65
2020-814755,60,12.5
2020-814755,60,12.5
2020-814756,10,50.44
2020-814757,117,50.4
2020-814764,218,25.28
2020-814766,12,54.1
2020-814770,27,52.08
2020-814771,27,206.78
2020-814786,9,52.98
2020-814787,42,26.46
2020-814793,74,19.3
2020-814796,3136,26.38
2020-814797,7,32.88
2020-814800,3,10.83
2020-814802,13,66.52
2020-814806,14,16.66
2020-814807,18,49.2
2020-814808,120,34.53
2020-814810,4,61.42
2020-814812,1,77.92
2020-814812,1,77.92
2020-814813,12,9.47
2020-814814,10,50.35
2020-814815,17,83.07
2020-814816,3,22.25
2020-814817,51,60.17
2020-814818,5,16.4
2020-814820,91,53.98
2020-814821,15,104.2
2020-814822,9,82.05
2020-814829,126,23.96
2020-814831,17,17.71
2020-814834,6,24.04
2020-814836,74,21.29
2020-814837,76,32.55
2020-814839,2,31.0
