id_mutation,lot_numero,surface_carrez
2021-1682469,13,116.01
2021-1682469,16,5.61
2021-1682469,13,116.01
2021-1682469,13,116.01
2021-1682474,17,19.39
2021-1682478,4,83.16
2021-1682485,77,100.84
2021-1682487,205,16.31
2021-1682488,13,28.62
2021-1682489,20,16.41
2021-1682490,25,30.92
2021-1682491,48,66.42
2021-1682494,31,80.2
2021-1682495,67,104.8
2021-1682496,122,200.12
2021-1682496,110,19.05
2021-1682496,122,200.12
2021-1682497,6,19.22
2021-1682498,29,50.75
2021-1682499,19,81.51
2021-1682503,4,102.31
2021-1682503,4,102.31
2021-1682505,5,22.13
2021-1682506,13,130.67
2021-1682508,1,39.91
2021-1682509,36,63.52
2021-1682511,287,64.5
2021-1682512,11,6.41
2021-1682517,26,9.68
2021-1682520,10,52.45
2021-1682523,17,8.73
2021-1682523,16,8.34
2021-1682524,24,20.47
2021-1682525,111,32.24
2021-1682526,12,124.1
2021-1682527,14,110.18
2021-1682529,121,9.12
2021-1682530,22,47.71
2021-1682532,13,55.54
2021-1682533,11,74.71
2021-1682543,178,18.73
2021-1682544,105,16.23
2021-1682546,1,33.68
2021-1682549,56,35.51
2021-1682551,31,8.51
2021-1682552,8,48.33
2021-1682552,8,48.33
2021-1682556,17,56.05
2021-1682557,31,11.0
2021-1682561,521,25.35
2021-1682563,108,35.71
2021-1682564,42,83.72
2021-1682565,53,20.54
2021-1682566,19,99.86
2021-1682569,52,32.4
2021-1682572,48,12.72
2021-1682574,34,70.16
2021-1682574,34,70.16
2021-1682574,33,30.7
2021-1682574,34,70.16
2021-1682575,11,24.18
2021-1682580,10,42.75
2021-1682581,33,7.22
2021-1682582,31,85.04
2021-1682583,9,8.18
2021-1682584,244,39.6
2021-1682585,520,70.12
2021-1682585,520,70.12
2021-1682585,520,70.12
2021-1682586,5,131.06
2021-1682587,21,44.42
2021-1682588,705,133.85
2021-1682591,117,25.65
2021-1682592,107,171.54
2021-1682594,65,37.34
2021-1682595,122,135.04
2021-1682596,77,12.77
2021-1682598,8,81.18
2021-1682600,10,30.43
2021-1682601,1022,26.99
2021-1682602,55,64.44
2021-1682605,1,45.71
2021-1682608,4,140.81
2021-1682610,128,101.79
2021-1682611,5,43.33
2021-1682612,155,236.66
2021-1682613,8,100.1
2021-1682614,4,63.42
2021-1682616,15,64.48
2021-1682617,10,131.67
2021-1682618,236,30.77
2021-1682619,88,31.02
2021-1682623,1,93.86
2021-1682625,17,2.2
2021-1682627,76,115.83
2021-1682630,8,82.51
2021-1682631,49,26.6
2021-1682631,49,26.6
2021-1682633,51,29.75
2021-1682635,20,69.19
2021-1682636,14,79.04
2021-1682637,6,28.85
2021-1682641,14,41.16
2021-1682642,110,50.5
2021-1682643,177,84.7
2021-1682645,112,54.31
2021-1682647,304,38.01
2021-1682649,38,85.6
2021-1682650,103,31.62
2021-1682653,47,35.19
2021-1682654,22,71.72
2021-1682655,13,52.24
2021-1682658,187,103.05
2021-1682659,61,18.6
2021-1682660,18,44.71
2021-1682661,61,7.74
2021-1682662,62,10.88
2021-1682667,15,215.13
2021-1682668,6,107.96
2021-1682668,16,5.72
2021-1682673,10,43.6
2021-1682674,47,36.55
2021-1682675,51,50.32
2021-1682676,101,47.98
2021-1682677,128,11.21
2021-1682678,11,53.35
2021-1682680,12,24.76
2021-1682682,128,9.14
2021-1682686,34,10.8
2021-1682687,28,11.29
2021-1682691,8,143.52
2021-1682692,28,23.34
2021-1682693,19,5.16
2021-1682698,188,9.04
2021-1682699,19,9.5
2021-1682700,142,53.38
2021-1682701,34,26.88
2021-1682702,106,147.67
2021-1682705,38,20.86
2021-1682706,21,11.95
2021-1682707,17,55.8
2021-1682708,10,62.12
2021-1682709,11,27.23
2021-1682710,17,7.65
2021-1682712,162,63.29
2021-1682713,36,15.55
2021-1682716,20,23.85
2021-1682717,4,17.55
2021-1682720,1,44.15
2021-1682722,110,8.1
2021-1682723,52,11.4
2021-1682724,40,35.18
2021-1682725,16,36.12
2021-1682726,6,147.67
2021-1682728,34,26.62
2021-1682732,6,41.76
2021-1682733,19,28.46
2021-1682734,15,49.53
2021-1682735,4,123.17
2021-1682736,26,12.54
2021-1682737,19,20.02
2021-1682744,19,185.85
2021-1682745,29,33.8
2021-1682746,7,56.76
2021-1682747,21,49.86
2021-1682748,57,87.3
2021-1682749,1,20.85
2021-1682751,179,20.58
2021-1682754,4,165.43
2021-1682756,11,93.39
2021-1682759,12,102.03
2021-1682760,24,39.72
2021-1682761,212,73.7
2021-1682763,19,43.62
2021-1682764,8,27.66
2021-1682765,14,36.83
2021-1682766,4,187.08
2021-1682767,48,32.78
2021-1682770,69,34.04
2021-1682774,1,50.6
2021-1682775,9,196.44
2021-1682776,3,26.51
2021-1682778,14,23.98
2021-1682780,144,224.38
2021-1682784,1,152.6
2021-1682785,1,74.02
2021-1682785,1,74.02
2021-1682788,19,64.28
2021-1682789,154,33.4
2021-1682790,8,47.45
2021-1682791,73,30.07
2021-1682793,17,19.06
2021-1682796,18,20.27
2021-1682798,37,9.92
2021-1682800,6,18.9
2021-1682801,48,51.58
2021-1682802,9,83.21
2021-1682803,12,38.09
2021-1682804,36,17.44
2021-1682805,14,18.87
2021-1682806,28,12.79
2021-1682807,17,35.12
2021-1682809,51,20.31
2021-1682811,20,31.37
2021-1682812,10,102.56
2021-1682813,11,123.42
2021-1682813,26,10.02
2021-1682816,9,42.26
2021-1682817,78,65.8
2021-1682822,43,17.82
2021-1682824,58,232.5
2021-1682824,62,9.21
2021-1682824,58,232.5
2021-1682825,134,14.86
2021-1682827,14,8.24
2021-1682828,34,127.25
2021-1682830,6,149.4
2021-1682832,13,114.4
2021-1682834,8,32.27
2021-1682835,94,25.18
2021-1682836,19,33.73
2021-1682839,387,12.11
2021-1682840,208,60.9
2021-1682841,18,96.68
2021-1682842,7,18.18
2021-1682844,6,33.02
2021-1682844,6,33.02
2021-1682844,9,50.38
2021-1682844,10,51.26
2021-1682848,101,86.19
2021-1682851,44,60.15
2021-1682852,123,48.33
2021-1682853,5,30.2
2021-1682854,16,45.58
2021-1682856,61,14.75
2021-1682857,12,49.11
2021-1682858,47,6.18
2021-1682860,14,11.08
2021-1682861,45,6.95
2021-1682862,16,10.0
2021-1682863,1,116.85
2021-1682865,31,10.8
2021-1682866,27,30.24
2021-1682868,34,28.54
2021-1682874,2,33.21
2021-1682876,20,31.7
2021-1682879,6,42.77
2021-1682891,25,25.03
2021-1682892,558,60.51
2021-1682893,4,95.55
2021-1682894,24,15.89
2021-1682906,41,7.83
2021-1682907,34,12.04
2021-1682912,15,8.7
2021-1682914,10,6.87
2021-1682915,10,182.6
2021-1682916,27,22.19
2021-1682917,130,36.6
2021-1682920,305,18.82
2021-1682924,20,61.72
2021-1682928,11,16.56
2021-1682930,16,131.88
2021-1682932,14,52.02
2021-1682934,8,67.23
2021-1682935,106,5.11
2021-1682936,24,8.58
2021-1682942,14,21.35
2021-1682943,28,41.95
2021-1682944,9,24.38
2021-1682946,54,54.18
2021-1682947,22,18.36
2021-1682948,19,10.76
2021-1682949,98,9.69
2021-1682952,17,9.65
2021-1682953,29,27.45
2021-1682954,69,191.65
2021-1682955,17,6.57
2021-1682956,105,29.79
2021-1682957,543,54.69
2021-1682958,10,14.17
2021-1682960,16,38.3
2021-1682961,24,33.53
2021-1682964,13,52.7
2021-1682965,11,40.5
2021-1682967,16,9.01
2021-1682971,160,70.1
2021-1682972,25,59.27
2021-1682973,102,47.03
2021-1682975,28,63.42
2021-1682976,988,35.55
2021-1682977,65,4.91
2021-1682978,22,72.87
2021-1682980,1205,266.55
2021-1682981,207,27.44
2021-1682983,375,28.03
2021-1682984,19,11.4
2021-1682985,55,68.25
2021-1682988,24,54.04
2021-1682989,12,40.93
2021-1682991,25,29.94
2021-1682993,13,67.51
2021-1682995,6,99.3
2021-1682996,173,19.1
2021-1682997,141,18.48
2021-1682998,1005,85.93
2021-1682999,18,77.66
2021-1683000,11,35.25
2021-1683001,10,33.4
2021-1683003,110,50.41
2021-1683005,12,15.54
2021-1683008,22,116.35
2021-1683009,6,50.19
2021-1683011,3009,64.64
2021-1683013,48,12.01
2021-1683013,47,10.02
2021-1683016,49,82.94
2021-1683017,11,39.82
2021-1683019,31,17.05
2021-1683020,2,28.38
2021-1683022,77,24.5
2021-1683023,15,50.8
2021-1683024,37,27.09
2021-1683024,36,27.09
2021-1683025,13,25.02
2021-1683027,374,25.3
2021-1683029,13,34.8
2021-1683030,11,52.16
2021-1683031,23,29.92
2021-1683032,19,73.69
2021-1683033,4,40.01
2021-1683036,18,58.26
2021-1683039,59,9.3
2021-1683040,13,91.32
2021-1683042,47,31.59
2021-1683045,1007,55.9
2021-1683046,16,36.5
2021-1683049,25,20.87
2021-1683050,35,9.61
2021-1683052,11,56.21
2021-1683055,90,31.03
2021-1683056,6,26.75
2021-1683057,104,25.81
2021-1683058,17,37.1
2021-1683059,17,12.08
2021-1683059,19,10.98
2021-1683059,20,10.43
2021-1683059,21,10.68
2021-1683059,22,11.74
2021-1683059,23,3.45
2021-1683059,15,13.3
2021-1683059,29,9.49
2021-1683059,24,11.37
2021-1683059,25,9.55
2021-1683059,56,6.94
2021-1683059,53,9.22
2021-1683059,27,8.56
2021-1683059,16,12.1
2021-1683059,30,9.11
2021-1683059,28,6.91
2021-1683059,54,8.89
2021-1683059,18,12.14
2021-1683062,91,151.44
2021-1683064,30,66.4
2021-1683065,9,46.6
2021-1683066,48,26.19
2021-1683067,12,53.51
2021-1683068,33,29.66
2021-1683070,1205,266.55
2021-1683071,17,86.02
2021-1683072,22,27.47
2021-1683073,6,97.0
2021-1683074,3,39.05
2021-1683075,14,40.33
2021-1683078,60,10.03
2021-1683078,61,39.4
2021-1683081,43,36.29
2021-1683082,261,14.7
2021-1683085,11,37.04
2021-1683089,19,47.69
2021-1683089,20,23.54
2021-1683090,12,50.03
2021-1683093,34,34.85
2021-1683097,14,20.45
2021-1683098,10,74.34
2021-1683099,7,33.28
2021-1683103,31,73.56
2021-1683104,77,18.1
2021-1683106,153,38.18
2021-1683108,11,48.8
2021-1683113,11,47.06
2021-1683114,2,12.01
2021-1683116,302,86.04
2021-1683118,11,74.17
2021-1683119,514,31.04
2021-1683120,31,8.41
2021-1683122,125,6.16
2021-1683123,4,42.67
2021-1683125,10,15.36
2021-1683126,104,27.37
2021-1683128,41,28.42
2021-1683129,112,80.36
2021-1683130,12,9.4
2021-1683133,7,21.49
2021-1683134,17,73.38
2021-1683135,41,37.16
2021-1683136,11,81.15
2021-1683137,10,46.23
2021-1683140,32,55.77
2021-1683141,17,25.01
2021-1683143,10,64.06
2021-1683146,24,29.43
2021-1683148,17,45.06
2021-1683149,9,36.01
2021-1683156,15,100.01
2021-1683159,1240,15.57
2021-1683160,334,44.56
2021-1683163,5,47.18
2021-1683164,3,25.34
2021-1683165,2,33.54
2021-1683167,26,88.15
2021-1683168,23,37.35
2021-1683169,18,83.84
2021-1683171,11,14.2
2021-1683172,68,103.21
2021-1683173,34,50.47
2021-1683174,63,15.79
2021-1683175,23,37.2
2021-1683176,33,34.65
2021-1683179,21,55.22
2021-1683180,2,43.82
2021-1683182,42,33.11
2021-1683186,4,18.02
2021-1683187,36,50.6
2021-1683189,83,26.9
2021-1683190,27,14.08
2021-1683191,4,67.03
2021-1683192,13,57.1
2021-1683194,1103,86.13
2021-1683195,57,83.42
2021-1683196,7,105.39
2021-1683197,10,22.63
2021-1683198,116,46.8
2021-1683199,153,16.99
2021-1683201,60,167.12
2021-1683202,19,150.33
2021-1683203,32,77.03
2021-1683205,9,34.0
2021-1683206,26,46.84
2021-1683209,71,7.65
2021-1683210,8,25.09
2021-1683215,115,11.17
2021-1683219,302,21.7
2021-1683221,17,34.47
2021-1683222,7,50.6
2021-1683226,17,29.67
2021-1683228,101,9.09
2021-1683231,7,35.15
2021-1683232,206,95.12
2021-1683233,16,42.8
2021-1683237,14,10.69
2021-1683237,14,10.69
2021-1683238,19,20.31
2021-1683240,13,38.02
2021-1683241,35,862.25
2021-1683243,201,48.27
2021-1683245,1,40.0
2021-1683246,42,13.3
2021-1683249,113,99.92
2021-1683250,38,5.48
2021-1683253,37,13.92
2021-1683254,4,40.03
2021-1683255,39,24.5
2021-1683256,9,30.1
2021-1683259,62,19.1
2021-1683261,13,59.45
2021-1683262,75,19.18
2021-1683265,8,19.35
2021-1683266,100,80.77
2021-1683267,19,9.46
2021-1683269,1235,55.71
2021-1683271,138,81.01
2021-1683273,10,24.42
2021-1683277,15,62.06
2021-1683279,11,63.42
2021-1683281,23,28.9
2021-1683284,35,6.31
2021-1683285,22,66.74
2021-1683288,39,31.26
2021-1683289,21,48.85
2021-1683290,161,15.68
2021-1683291,1260,69.59
2021-1683292,17,49.25
2021-1683294,36,110.3
2021-1683295,11,38.81
2021-1683296,67,46.04
2021-1683297,508,69.96
2021-1683298,59,22.73
2021-1683301,71,218.45
2021-1683302,144,15.06
2021-1683305,5,24.04
2021-1683306,39,73.48
2021-1683307,28,21.5
2021-1683308,11,151.69
2021-1683313,6,232.97
2021-1683319,71,38.02
2021-1683322,20,26.03
2021-1683323,15,44.63
2021-1683324,109,37.05
2021-1683325,5,91.07
2021-1683329,19,42.85
2021-1683331,25,119.02
2021-1683333,51,31.0
2021-1683335,16,90.31
2021-1683336,2,41.81
2021-1683337,10,41.78
2021-1683342,2,21.82
2021-1683346,14,26.96
2021-1683348,64,26.55
2021-1683351,12,65.12
2021-1683352,11,37.71
2021-1683355,57,16.46
2021-1683356,5,60.1
2021-1683360,10,63.75
2021-1683363,5,25.03
2021-1683366,15,12.1
2021-1683367,65,24.25
2021-1683369,95,25.38
2021-1683370,46,32.55
2021-1683371,12,35.01
2021-1683372,14,27.3
2021-1683373,16,20.03
2021-1683379,9,59.97
2021-1683380,6,48.18
2021-1683381,12,149.09
2021-1683383,39,31.26
2021-1683384,146,29.39
2021-1683385,260,6.75
2021-1683386,16,90.45
2021-1683387,22,16.4
2021-1683390,26,12.51
2021-1683391,33,23.5
2021-1683392,83,73.51
2021-1683393,2037,26.04
2021-1683395,11,21.33
2021-1683396,12,11.5
2021-1683400,6,81.84
2021-1683401,1161,10.5
2021-1683402,65,13.6
2021-1683406,20,84.06
2021-1683409,10,32.08
2021-1683415,8,35.38
2021-1683421,14,108.79
2021-1683423,5,44.57
2021-1683426,2040,62.0
2021-1683427,47,23.22
2021-1683428,209,27.0
2021-1683429,39,61.66
2021-1683432,14,64.99
2021-1683433,212,53.22
2021-1683434,29,16.17
2021-1683435,11,63.24
2021-1683438,92,106.03
2021-1683439,3,133.36
2021-1683440,258,153.51
2021-1683440,258,153.51
2021-1683441,121,20.1
2021-1683442,11,31.55
2021-1683444,21,38.83
2021-1683446,115,47.65
2021-1683447,22,38.65
2021-1683448,17,40.3
2021-1683449,109,48.58
2021-1683451,22,24.21
2021-1683452,370,109.64
2021-1683453,20,63.3
2021-1683456,22,82.55
2021-1683457,27,20.97
2021-1683458,10,61.68
2021-1683459,6,39.13
2021-1683460,8,14.4
2021-1683462,101,21.7
2021-1683463,6,30.68
2021-1683467,26,26.21
2021-1683468,2,67.52
2021-1683473,1,37.58
2021-1683474,10,49.95
2021-1683476,114,24.16
2021-1683477,12,56.4
2021-1683478,4,26.12
2021-1683479,4,40.1
2021-1683480,23,44.45
2021-1683483,18,19.02
2021-1683484,75,43.06
2021-1683485,69,35.67
2021-1683485,69,35.67
2021-1683486,111,42.51
2021-1683487,124,10.8
2021-1683489,47,22.79
2021-1683492,11,118.3
2021-1683497,34,36.54
2021-1683498,118,26.86
2021-1683499,5,31.07
2021-1683501,14,58.2
2021-1683504,18,49.4
2021-1683505,1,46.47
2021-1683507,265,32.88
2021-1683508,8,110.03
2021-1683508,8,110.03
2021-1683509,23,82.1
2021-1683510,831,137.26
2021-1683510,832,137.26
2021-1683512,11,30.43
2021-1683514,23,50.9
2021-1683515,21,188.02
2021-1683515,21,188.02
2021-1683516,46,52.15
2021-1683519,11,30.6
2021-1683520,26,12.88
2021-1683521,56,31.0
2021-1683522,133,26.38
2021-1683523,124,34.2
2021-1683525,49,29.44
2021-1683526,46,25.04
2021-1683527,136,33.78
2021-1683528,9,40.89
2021-1683529,10,158.03
2021-1683530,25,95.15
2021-1683531,25,20.4
2021-1683531,21,50.1
2021-1683532,4,30.19
2021-1683534,954,10.56
2021-1683536,7,78.35
2021-1683537,20,19.47
2021-1683538,12,42.01
2021-1683539,65,133.2
2021-1683540,25,32.24
2021-1683541,416,24.03
2021-1683542,11,47.1
2021-1683543,262,66.26
2021-1683545,18,40.12
2021-1683546,123,31.66
2021-1683547,43,34.74
2021-1683548,134,93.97
2021-1683553,24,26.47
2021-1683554,5,17.88
2021-1683556,11,14.81
2021-1683557,11,13.81
2021-1683558,63,15.65
2021-1683559,25,21.89
2021-1683564,29,22.1
2021-1683565,4,58.79
2021-1683575,19,41.55
2021-1683576,54,31.41
2021-1683577,411,22.53
2021-1683578,16,28.58
2021-1683579,11,30.44
2021-1683580,15,115.25
2021-1683580,15,115.25
2021-1683581,182,94.02
2021-1683582,120,82.84
2021-1683584,30,24.25
2021-1683585,20,134.04
2021-1683585,21,134.04
2021-1683585,15,134.04
2021-1683586,19,87.33
2021-1683592,1,20.52
2021-1683594,18,39.86
2021-1683595,42,14.87
2021-1683596,103,23.67
2021-1683597,19,60.38
2021-1683599,30,16.87
2021-1683600,21,34.65
2021-1683601,65,32.47
2021-1683602,227,16.44
2021-1683605,29,44.77
2021-1683606,782,19.85
2021-1683609,34,34.23
2021-1683610,32,89.57
2021-1683611,10,121.51
2021-1683611,10,121.51
2021-1683612,21,49.52
2021-1683613,90,48.77
2021-1683617,37,104.95
2021-1683618,28,99.55
2021-1683619,1,18.72
2021-1683624,6003,33.5
2021-1683626,109,15.0
2021-1683627,160,30.0
2021-1683627,160,30.0
2021-1683627,160,30.0
2021-1683628,98,17.65
2021-1683629,28,27.9
2021-1683632,5,98.45
2021-1683634,15,44.71
2021-1683635,22,61.91
2021-1683639,14,50.77
2021-1683641,10,17.15
2021-1683642,18,68.33
2021-1683644,1183,68.85
2021-1683645,65,43.38
2021-1683646,119,171.52
2021-1683649,11,45.55
2021-1683650,19,62.83
2021-1683651,12,35.47
2021-1683652,1074,9.85
2021-1683653,1041,33.25
2021-1683657,45,38.18
2021-1683658,19,64.07
2021-1683662,1,55.9
2021-1683663,12,16.62
2021-1683664,113,14.3
2021-1683665,1061,48.55
2021-1683666,16,24.79
2021-1683668,108,52.09
2021-1683669,6,38.2
2021-1683670,9,107.12
2021-1683671,4,37.27
2021-1683673,53,24.22
2021-1683675,104,32.19
2021-1683677,26,46.13
2021-1683679,312,22.8
2021-1683681,5,76.98
2021-1683682,76,116.1
2021-1683683,17,32.63
2021-1683685,36,50.2
2021-1683686,1110,24.05
2021-1683688,123,44.57
2021-1683689,19,57.05
2021-1683690,65,38.73
2021-1683691,116,26.07
2021-1683692,14,28.41
2021-1683695,23,89.23
2021-1683696,377,241.53
2021-1683697,142,28.34
2021-1683698,31,41.64
2021-1683699,286,77.58
2021-1683701,135,58.08
2021-1683702,9,16.8
2021-1683703,7,42.37
2021-1683704,212,138.26
2021-1683706,17,14.04
2021-1683707,225,14.58
2021-1683708,19,35.51
2021-1683710,63,37.0
2021-1683711,53,37.75
2021-1683712,15,15.02
2021-1683714,6,53.2
2021-1683716,105,48.28
2021-1683720,24,31.32
2021-1683723,91,16.51
2021-1683725,3,70.02
2021-1683726,40,84.1
2021-1683727,25,35.47
2021-1683728,44,11.01
2021-1683729,32,40.08
2021-1683731,100,55.61
2021-1683735,166,85.42
2021-1683736,3,208.95
2021-1683739,26,4.95
2021-1683741,10,64.83
2021-1683743,6,46.35
2021-1683744,10,58.17
2021-1683745,22,43.79
2021-1683746,169,47.1
2021-1683747,30,20.66
2021-1683748,22,48.66
2021-1683749,19,123.59
2021-1683749,19,123.59
2021-1683750,35,15.24
2021-1683752,19,9.4
2021-1683756,145,45.76
2021-1683758,20,9.12
2021-1683763,30,40.12
2021-1683765,23,11.32
2021-1683767,37,134.01
2021-1683769,702,232.95
2021-1683770,10,48.75
2021-1683772,5,47.54
2021-1683773,30,61.69
2021-1683774,206,118.5
2021-1683776,39,59.03
2021-1683777,272,123.54
2021-1683777,278,19.06
2021-1683779,4,16.74
2021-1683782,117,112.9
2021-1683783,4,12.9
2021-1683784,31,41.38
2021-1683786,8,50.51
2021-1683789,24,45.64
2021-1683791,20,46.68
2021-1683792,124,47.58
2021-1683793,12,49.02
2021-1683796,10,47.13
2021-1683797,16,49.4
2021-1683799,13,101.95
2021-1683807,15,24.25
2021-1683809,37,19.58
2021-1683814,142,51.97
2021-1683816,37,39.05
2021-1683817,51,78.43
2021-1683819,1015,73.27
