id_mutation,lot_numero,surface_carrez
2022-1640900,55,61.0
2022-1640900,55,61.0
2022-1640901,7,40.66
2022-1640901,7,40.66
2022-1640906,298,32.52
2022-1640906,298,32.52
2022-1640907,13,34.53
2022-1640907,13,34.53
2022-1640908,21,24.59
2022-1640909,33,27.64
2022-1640909,33,27.64
2022-1640910,17,57.12
2022-1640910,17,57.12
2022-1640914,5,81.36
2022-1640914,5,81.36
2022-1640916,12,74.38
2022-1640916,12,74.38
2022-1640917,20,23.55
2022-1640918,22,38.53
2022-1640918,22,38.53
2022-1640919,14,47.59
2022-1640920,108,20.04
2022-1640921,39,55.49
2022-1640921,39,55.49
2022-1640923,421,32.36
2022-1640923,421,32.36
2022-1640924,42,51.9
2022-1640927,30,32.95
2022-1640930,14,15.73
2022-1640933,74,18.0
2022-1640934,36,31.32
2022-1640936,151,47.49
2022-1640937,22,20.31
2022-1640939,10,76.0
2022-1640940,26,17.35
2022-1640941,128,41.05
2022-1640941,128,41.05
2022-1640943,75,53.25
2022-1640943,75,53.25
2022-1640944,30,28.2
2022-1640944,30,28.2
2022-1640946,6,88.06
2022-1640947,50,30.4
2022-1640947,50,30.4
2022-1640948,26,3.21
2022-1640950,16,10.51
2022-1640952,315,28.4
2022-1640955,1008,27.53
2022-1640956,80,49.8
2022-1640956,80,49.8
2022-1640956,80,49.8
2022-1640957,343,69.02
2022-1640957,343,69.02
2022-1640958,18,28.67
2022-1640958,18,28.67
2022-1640960,32,59.75
2022-1640960,32,59.75
2022-1640963,12,31.7
2022-1640964,18,27.88
2022-1640966,22,18.71
2022-1640966,22,18.71
2022-1640967,186,76.03
2022-1640967,186,76.03
2022-1640967,186,76.03
2022-1640968,7,166.9
2022-1640968,7,166.9
2022-1640975,5,126.85
2022-1640975,5,126.85
2022-1640975,5,126.85
2022-1640976,15,30.55
2022-1640977,167,18.07
2022-1640978,254,66.44
2022-1640978,254,66.44
2022-1640978,254,66.44
2022-1640980,679,62.56
2022-1640982,3,22.83
2022-1640985,7,46.1
2022-1640989,6,109.09
2022-1640989,6,109.09
2022-1640992,17,74.04
2022-1640992,17,74.04
2022-1640993,14,56.8
2022-1640994,10,47.02
2022-1640994,10,47.02
2022-1640995,5,28.81
2022-1640997,49,24.04
2022-1641000,2,37.45
2022-1641000,2,37.45
2022-1641001,37,26.37
2022-1641001,37,26.37
2022-1641004,38,29.05
2022-1641006,1,26.6
2022-1641007,32,15.8
2022-1641009,7,151.69
2022-1641009,7,151.69
2022-1641009,7,151.69
2022-1641009,7,151.69
2022-1641009,7,151.69
2022-1641014,10,28.02
2022-1641016,18,69.44
2022-1641016,18,69.44
2022-1641016,18,69.44
2022-1641019,111,18.52
2022-1641019,111,18.52
2022-1641022,14,68.77
2022-1641022,14,68.77
2022-1641023,33,30.63
2022-1641024,62,75.16
2022-1641024,62,75.16
2022-1641026,3,29.75
2022-1641027,45,26.39
2022-1641028,7,28.9
2022-1641030,30,19.5
2022-1641030,30,19.5
2022-1641031,1806,14.85
2022-1641032,29,16.7
2022-1641033,7,52.55
2022-1641033,7,52.55
2022-1641034,116,174.15
2022-1641034,116,174.15
2022-1641035,64,13.32
2022-1641037,21,33.96
2022-1641037,21,33.96
2022-1641040,25,44.97
2022-1641042,10,70.39
2022-1641043,3,35.0
2022-1641043,3,35.0
2022-1641044,11,30.29
2022-1641044,11,30.29
2022-1641045,8,53.05
2022-1641046,4,33.02
2022-1641048,18,30.15
2022-1641048,18,30.15
2022-1641048,18,30.15
2022-1641050,1172,41.5
2022-1641050,1172,41.5
2022-1641052,23,16.5
2022-1641055,19,27.75
2022-1641056,12,45.53
2022-1641056,12,45.53
2022-1641057,101,38.81
2022-1641057,101,38.81
2022-1641058,474,35.94
2022-1641062,5,52.54
2022-1641062,5,52.54
2022-1641063,17,28.34
2022-1641065,130,60.13
2022-1641066,26,146.75
2022-1641066,26,146.75
2022-1641066,26,146.75
2022-1641066,26,146.75
2022-1641067,15,44.46
2022-1641067,15,44.46
2022-1641069,24,65.44
2022-1641069,24,65.44
2022-1641070,21,14.42
2022-1641070,21,14.42
2022-1641074,102,26.78
2022-1641074,102,26.78
2022-1641076,32,16.61
2022-1641077,12,35.2
2022-1641077,12,35.2
2022-1641078,121,76.66
2022-1641079,15,70.7
2022-1641081,6,18.01
2022-1641082,134,31.03
2022-1641083,167,18.32
2022-1641085,14,13.29
2022-1641086,15,33.45
2022-1641086,15,33.45
2022-1641088,2,56.28
2022-1641093,52,7.53
2022-1641094,19,60.46
2022-1641094,19,60.46
2022-1641095,105,137.57
2022-1641095,105,137.57
2022-1641095,105,137.57
2022-1641096,90,52.62
2022-1641099,12,63.33
2022-1641099,12,63.33
2022-1641100,4045,49.19
2022-1641102,12,100.13
2022-1641102,20,8.54
2022-1641104,58,7.91
2022-1641105,29,12.95
2022-1641106,20,32.37
2022-1641107,13,9.92
2022-1641108,10,23.14
2022-1641109,12,50.17
2022-1641109,12,50.17
2022-1641111,11,15.25
2022-1641112,15,35.11
2022-1641115,204,41.26
2022-1641116,16,39.27
2022-1641116,16,39.27
2022-1641116,16,39.27
2022-1641117,130,20.53
2022-1641117,130,20.53
2022-1641119,3,28.75
2022-1641120,11,14.03
2022-1641120,11,14.03
2022-1641123,39,74.55
2022-1641123,39,74.55
2022-1641124,21,14.49
2022-1641126,41,27.29
2022-1641126,41,27.29
2022-1641127,99,54.37
2022-1641128,107,31.89
2022-1641128,107,31.89
2022-1641129,46,62.72
2022-1641130,117,45.79
2022-1641130,117,45.79
2022-1641131,10,46.92
2022-1641131,10,46.92
2022-1641131,9,46.92
2022-1641131,10,46.92
2022-1641131,9,46.92
2022-1641132,59,27.21
2022-1641133,16,29.48
2022-1641133,16,29.48
2022-1641134,10,83.1
2022-1641135,4,18.16
2022-1641136,24,37.77
2022-1641137,6,34.72
2022-1641137,6,34.72
2022-1641138,11,39.57
2022-1641138,11,39.57
2022-1641142,1761,85.92
2022-1641142,1761,85.92
2022-1641144,3,20.01
2022-1641145,206,44.64
2022-1641145,206,44.64
2022-1641146,41,9.1
2022-1641146,41,9.1
2022-1641147,13,61.52
2022-1641147,13,61.52
2022-1641148,11,31.21
2022-1641148,11,31.21
2022-1641149,120,31.79
2022-1641150,1150,26.91
2022-1641150,1150,26.91
2022-1641154,271,69.39
2022-1641154,271,69.39
2022-1641155,127,86.03
2022-1641155,127,86.03
2022-1641155,127,86.03
2022-1641157,12,14.65
2022-1641158,13,110.09
2022-1641159,1108,5.0
2022-1641161,102,30.6
2022-1641161,102,30.6
2022-1641163,1257,19.01
2022-1641164,9,34.5
2022-1641165,191,78.23
2022-1641166,16,94.15
2022-1641168,6,63.78
2022-1641169,55,57.39
2022-1641169,55,57.39
2022-1641171,16,27.44
2022-1641171,16,27.44
2022-1641172,30,41.31
2022-1641172,30,41.31
2022-1641173,11,27.76
2022-1641173,11,27.76
2022-1641176,13,64.52
2022-1641176,13,64.52
2022-1641177,12,48.14
2022-1641177,12,48.14
2022-1641178,12,39.7
2022-1641178,12,39.7
2022-1641180,2,15.4
2022-1641183,16,29.34
2022-1641185,26,83.17
2022-1641185,26,83.17
2022-1641186,34,61.08
2022-1641186,34,61.08
2022-1641187,101,28.68
2022-1641190,29,9.4
2022-1641190,29,9.4
2022-1641191,26,28.28
2022-1641191,26,28.28
2022-1641192,121,61.81
2022-1641192,121,61.81
2022-1641192,121,61.81
2022-1641193,16,47.0
2022-1641194,3,47.91
2022-1641196,110,13.8
2022-1641197,30,17.72
2022-1641198,94,51.2
2022-1641200,575,39.83
2022-1641201,124,73.09
2022-1641201,124,73.09
2022-1641202,90,129.54
2022-1641203,9,114.99
2022-1641203,9,114.99
2022-1641204,34,28.75
2022-1641206,12,25.7
2022-1641207,14,33.27
2022-1641207,14,33.27
2022-1641209,14,36.83
2022-1641211,23,9.02
2022-1641212,17,32.22
2022-1641212,17,32.22
2022-1641215,10,52.28
2022-1641215,10,52.28
2022-1641217,404,16.15
2022-1641218,40,33.5
2022-1641219,38,82.08
2022-1641222,107,104.68
2022-1641222,107,104.68
2022-1641223,2720,53.8
2022-1641224,13,118.09
2022-1641224,13,118.09
2022-1641225,22,21.4
2022-1641227,36,45.68
2022-1641227,36,45.68
2022-1641231,2,38.8
2022-1641232,20,26.6
2022-1641232,20,26.6
2022-1641235,25,41.55
2022-1641235,25,41.55
2022-1641237,167,19.17
2022-1641237,167,19.17
2022-1641238,1,85.58
2022-1641238,1,85.58
2022-1641239,36,56.7
2022-1641239,36,56.7
2022-1641240,24,62.3
2022-1641240,24,62.3
2022-1641241,60,32.87
2022-1641241,60,32.87
2022-1641242,23,34.67
2022-1641243,55,8.15
2022-1641245,14,28.44
2022-1641245,14,28.44
2022-1641247,244,51.55
2022-1641247,244,51.55
2022-1641248,203,55.05
2022-1641248,203,55.05
2022-1641249,80,43.11
2022-1641249,80,43.11
2022-1641251,28,34.6
2022-1641251,28,34.6
2022-1641253,20,27.17
2022-1641254,9,13.33
2022-1641255,14,25.8
2022-1641260,19,17.81
2022-1641261,26,28.61
2022-1641261,26,28.61
2022-1641263,39,42.74
2022-1641263,39,42.74
2022-1641264,44,31.46
2022-1641266,33,8.03
2022-1641267,2,8.57
2022-1641269,8,28.57
2022-1641269,8,28.57
2022-1641270,10,98.17
2022-1641270,10,98.17
2022-1641271,78,51.24
2022-1641271,78,51.24
2022-1641273,10,26.71
2022-1641274,34,24.68
2022-1641274,34,24.68
2022-1641275,2128,32.19
2022-1641276,24,4.32
2022-1641277,29,33.06
2022-1641279,2,41.3
2022-1641280,13,42.14
2022-1641281,13,35.04
2022-1641286,12,19.14
2022-1641289,25,36.0
2022-1641289,25,36.0
2022-1641290,98,33.5
2022-1641291,220,9.68
