id_mutation,lot_numero,surface_carrez
2023-1321013,1,95.21
2023-1321015,57,18.75
2023-1321016,831,43.8
2023-1321017,34,11.4
2023-1321019,107,36.11
2023-1321019,107,36.11
2023-1321024,70,35.02
2023-1321025,23,31.08
2023-1321026,1,18.98
2023-1321027,8,17.49
2023-1321028,53,35.01
2023-1321028,53,35.01
2023-1321029,7,100.54
2023-1321030,29,30.66
2023-1321030,29,30.66
2023-1321032,176,28.35
2023-1321033,13,20.58
2023-1321034,26,35.8
2023-1321034,26,35.8
2023-1321035,14,54.07
2023-1321035,14,54.07
2023-1321036,42,78.2
2023-1321036,42,78.2
2023-1321037,104,24.92
2023-1321038,367,71.21
2023-1321039,22,13.57
2023-1321039,21,14.98
2023-1321042,9,33.79
2023-1321044,57,35.14
2023-1321044,57,35.14
2023-1321058,14,38.67
2023-1321058,14,38.67
2023-1321063,3,34.93
2023-1321064,2,14.37
2023-1321064,2,14.37
2023-1321065,70,20.01
2023-1321070,6,35.05
2023-1321071,20,34.45
2023-1321071,20,34.45
2023-1321073,16,68.74
2023-1321074,15,64.2
2023-1321075,12,49.08
2023-1321075,12,49.08
2023-1321082,43,161.17
2023-1321082,43,161.17
2023-1321085,33,40.4
2023-1321085,33,40.4
2023-1321086,24,20.3
2023-1321087,13,52.53
2023-1321087,13,52.53
2023-1321088,18,67.95
2023-1321088,18,67.95
2023-1321089,110,35.39
2023-1321094,54,70.08
2023-1321094,54,70.08
2023-1321095,2,18.03
2023-1321097,10,19.06
2023-1321098,14,38.81
2023-1321098,14,38.81
2023-1321102,214,43.91
2023-1321102,214,43.91
2023-1321105,25,5.1
2023-1321105,25,5.1
2023-1321105,25,5.1
2023-1321107,21,31.98
2023-1321107,21,31.98
2023-1321108,5,45.5
2023-1321108,5,45.5
2023-1321109,23,64.95
2023-1321109,23,64.95
2023-1321110,13,36.6
2023-1321115,64,61.51
2023-1321115,64,61.51
2023-1321115,64,61.51
2023-1321124,46,30.98
2023-1321124,46,30.98
2023-1321125,123,9.13
2023-1321127,32,27.14
2023-1321127,32,27.14
2023-1321130,72,21.2
2023-1321130,72,21.2
