id_mutation,lot_numero,surface_carrez
2024-1190825,20,29.68
2024-1190829,26,42.3
2024-1190830,129,5.63
2024-1190830,105,123.69
2024-1190830,105,123.69
2024-1190830,105,123.69
2024-1190833,12,41.78
2024-1190833,12,41.78
2024-1190839,26,29.63
2024-1190839,26,29.63
2024-1190840,33,297.54
2024-1190841,71,47.26
2024-1190841,71,47.26
2024-1190844,29,39.94
2024-1190845,210,108.0
2024-1190845,181,243.0
2024-1190845,177,203.0
2024-1190845,176,344.0
2024-1190845,209,208.0
2024-1190847,92,78.55
2024-1190850,224,58.46
2024-1190852,18,26.01
2024-1190852,18,26.01
2024-1190853,47,65.05
2024-1190853,47,65.05
2024-1190854,5,68.26
2024-1190854,5,68.26
2024-1190854,5,68.26
2024-1190854,5,68.26
2024-1190857,7,63.22
2024-1190857,7,63.22
2024-1190858,51,23.32
2024-1190858,51,23.32
2024-1190859,124,33.58
2024-1190860,9,159.36
2024-1190861,1527,65.62
2024-1190863,8,63.6
2024-1190863,8,63.6
2024-1190864,19,13.4
2024-1190864,24,3.84
2024-1190866,10,78.64
2024-1190866,10,78.64
2024-1190868,6,102.19
2024-1190868,6,102.19
2024-1190869,48,76.8
2024-1190870,18,101.92
2024-1190870,18,101.92
2024-1190871,25,28.6
2024-1190887,13,40.74
2024-1190887,13,40.74
2024-1190888,6076,30.0
2024-1190889,101,9.02
2024-1190890,102,22.62
2024-1190892,45,24.43
2024-1190892,45,24.43
2024-1190893,35,17.68
2024-1190895,10,64.05
2024-1190899,31,7.88
2024-1190902,160,14.15
2024-1190906,986,30.74
2024-1190907,13,102.66
2024-1190907,13,102.66
2024-1190907,13,102.66
2024-1190908,12,43.82
2024-1190908,12,43.82
2024-1190910,33,23.16
2024-1190911,41,31.46
2024-1190913,18,65.05
2024-1190914,106,168.08
2024-1190914,106,168.08
2024-1190914,106,168.08
2024-1190914,106,168.08
2024-1190915,1,25.59
2024-1190918,18,9.07
2024-1190919,35,24.09
2024-1190919,35,24.09
2024-1190920,201,72.37
2024-1190920,201,72.37
2024-1190920,201,72.37
2024-1190922,3,12.7
2024-1190923,53,44.61
2024-1190924,16,47.54
2024-1190924,16,47.54
2024-1190925,85,8.0
2024-1190929,26,9.05
2024-1190930,105,70.2
2024-1190931,46,78.37
2024-1190931,46,78.37
