id_mutation,lot_numero,surface_carrez
2025-487667,10,93.54
2025-487668,226,49.48
2025-487668,226,49.48
2025-487669,166,42.63
2025-487669,166,42.63
2025-487669,166,42.63
2025-487670,15,50.1
2025-487670,15,50.1
2025-487672,159,32.27
2025-487673,51,64.61
2025-487673,51,64.61
2025-487674,16,22.05
2025-487677,1023,72.1
2025-487679,1028,45.0
2025-487681,105,58.26
2025-487681,105,58.26
2025-487682,22,37.47
2025-487685,33,36.32
2025-487685,33,36.32
2025-487686,26,24.0
2025-487687,4,69.9
2025-487689,26,16.33
2025-487691,191,38.37
2025-487691,191,38.37
2025-487692,10,57.09
2025-487695,17,41.9
2025-487696,46,18.26
2025-487696,46,18.26
2025-487697,13,27.06
2025-487697,13,27.06
2025-487703,63,81.38
2025-487703,63,81.38
2025-487705,17,19.01
2025-487707,6,36.74
2025-487708,15,34.05
2025-487709,56,13.0
2025-487711,162,93.38
2025-487711,162,93.38
2025-487711,162,93.38
2025-487714,7,34.71
2025-487714,7,34.71
2025-487718,3315,44.15
2025-487718,3315,44.15
2025-487719,26,10.56
2025-487720,10,34.98
2025-487721,81,60.58
2025-487723,47,136.28
2025-487723,47,136.28
2025-487723,47,136.28
2025-487723,47,136.28
2025-487726,19,34.16
2025-487726,19,34.16
2025-487727,19,39.67
2025-487727,19,39.67
2025-487728,1008,94.32
2025-487731,16,27.42
2025-487732,13,69.28
2025-487732,13,69.28
2025-487734,12,102.71
2025-487734,12,102.71
2025-487737,6,56.74
2025-487740,11,20.85
2025-487741,90,30.05
2025-487743,12,349.26
2025-487743,12,349.26
2025-487744,13,70.85
2025-487744,13,70.85
2025-487745,115,85.05
2025-487745,115,85.05
2025-487747,16,154.08
2025-487748,35,55.29
2025-487749,12,79.78
2025-487751,50,23.42
2025-487751,50,23.42
2025-487753,27,39.48
2025-487756,20,27.57
2025-487758,13,89.15
2025-487758,13,89.15
2025-487760,139,16.02
2025-487761,30,27.51
2025-487762,27,9.6
2025-487765,38,13.83
2025-487766,237,2623.0
2025-487766,100,2623.0
2025-487766,175,2623.0
2025-487768,22,31.54
2025-487768,22,31.54
2025-487769,237,26.24
2025-487769,237,26.24
2025-487769,237,26.24
2025-487772,5,30.77
2025-487773,2,25.3
2025-487774,20,38.41
2025-487774,20,38.41
2025-487775,24,18.44
2025-487777,19,34.68
2025-487778,14,165.18
2025-487778,14,165.18
2025-487778,14,165.18
2025-487779,6005,42.92
2025-487780,16,42.54
2025-487781,2,11.63
2025-487782,24,37.61
2025-487784,7,70.36
2025-487785,12,45.49
2025-487786,17,68.8
2025-487787,65,32.18
2025-487787,65,32.18
2025-487788,16,13.86
2025-487790,20,42.59
2025-487790,20,42.59
2025-487791,93,22.5
2025-487794,17,8.65
2025-487795,253,39.24
2025-487795,253,39.24
2025-487796,7,36.39
2025-487796,7,36.39
2025-487797,25,22.6
2025-487800,326,58.36
2025-487802,19,26.08
2025-487802,19,26.08
2025-487803,3,49.03
2025-487805,3,24.0
2025-487805,3,24.0
2025-487806,11,53.16
2025-487810,39,24.51
2025-487812,1018,200.03
2025-487812,1018,200.03
2025-487813,11,43.9
2025-487813,11,43.9
2025-487814,18,50.19
2025-487814,18,50.19
2025-487816,40,41.58
2025-487816,40,41.58
2025-487818,69,24.49
2025-487819,16,18.95
2025-487820,10,66.7
2025-487821,127,47.53
2025-487821,127,47.53
2025-487821,127,47.53
2025-487823,7,87.0
2025-487823,7,87.0
2025-487825,5,25.02
2025-487826,31,12.16
2025-487827,15,84.2
2025-487827,15,84.2
2025-487829,34,11.35
2025-487832,12,60.72
2025-487832,12,60.72
2025-487833,5,46.8
2025-487833,5,46.8
2025-487836,107,54.34
2025-487836,107,54.34
2025-487838,12,60.1
2025-487840,6,130.0
2025-487842,108,32.65
2025-487843,2,67.16
2025-487845,5,22.85
2025-487846,13,9.12
2025-487849,21,55.36
2025-487850,36,41.07
2025-487850,36,41.07
2025-487851,2,32.8
2025-487852,9,103.0
2025-487853,115,52.79
2025-487853,115,52.79
2025-487854,35,54.8
2025-487855,17,36.15
2025-487855,17,36.15
2025-487856,28,9.38
2025-487856,27,9.01
2025-487857,3,58.38
2025-487857,3,58.38
2025-487859,2,45.88
2025-487860,121,65.47
2025-487860,121,65.47
2025-487864,1013,17.5
2025-487867,138,43.48
2025-487867,138,43.48
2025-487871,20,106.02
2025-487871,20,106.02
2025-487874,31,79.03
2025-487875,78,43.93
2025-487875,78,43.93
2025-487877,32,9.33
2025-487877,32,9.33
2025-487877,32,9.33
2025-487877,32,9.33
2025-487880,1387,68.75
2025-487881,9,33.6
2025-487882,15,18.28
2025-487882,15,18.28
2025-487883,11,174.74
2025-487883,11,174.74
2025-487884,9,33.1
2025-487884,9,33.1
2025-487887,14,52.86
2025-487887,14,52.86
2025-487889,34,42.25
2025-487889,34,42.25
2025-487895,31,48.85
2025-487895,31,48.85
2025-487896,12,58.15
2025-487897,4,54.53
2025-487897,4,54.53
2025-487898,1,21.88
2025-487904,14,46.51
2025-487905,270,77.2
2025-487906,110,32.39
2025-487906,110,32.39
2025-487907,30,57.8
2025-487907,30,57.8
2025-487908,18,117.04
2025-487911,8,27.02
2025-487912,36,78.09
2025-487913,1,60.11
2025-487914,5,42.97
2025-487915,59,12.84
2025-487915,59,12.84
2025-487915,59,12.84
2025-487917,32,42.55
2025-487918,227,24.85
2025-487918,227,24.85
2025-487918,227,24.85
2025-487919,81,67.68
2025-487920,39,30.6
2025-487920,39,30.6
2025-487922,19,82.8
2025-487924,115,26.51
2025-487925,23,21.63
2025-487926,50,52.72
2025-487928,18,63.99
2025-487928,18,63.99
2025-487929,15,45.35
2025-487929,15,45.35
2025-487930,5,162.52
2025-487931,305,107.43
2025-487933,119,83.04
2025-487933,119,83.04
2025-487934,10,50.67
2025-487934,10,50.67
2025-487936,119,66.09
2025-487937,50,56.54
2025-487937,50,56.54
