code_insee,population_totale,superficie_km2,revenu_median,densite_pop_km2
75101,15568,1824612.86048666,32230.0,0.008532220909507187
75101,15568,1824612.86048666,41130.0,0.008532220909507187
75101,15568,1824612.86048666,36300.0,0.008532220909507187
75101,15568,1824612.86048666,32570.0,0.008532220909507187
75101,15568,1824612.86048666,40930.0,0.008532220909507187
75101,15568,1824612.86048666,51500.0,0.008532220909507187
75101,15568,1824612.86048666,40750.0,0.008532220909507187
75102,20566,991153.74474596,40070.0,0.020749555867612866
75102,20566,991153.74474596,39380.0,0.020749555867612866
75102,20566,991153.74474596,37690.0,0.020749555867612866
75102,20566,991153.74474596,37780.0,0.020749555867612866
75102,20566,991153.74474596,35580.0,0.020749555867612866
75102,20566,991153.74474596,30550.0,0.020749555867612866
75102,20566,991153.74474596,39150.0,0.020749555867612866
75102,20566,991153.74474596,33750.0,0.020749555867612866
75102,20566,991153.74474596,32070.0,0.020749555867612866
75102,20566,991153.74474596,30990.0,0.020749555867612866
75103,32992,1170882.82818778,33120.0,0.02817702950778002
75103,32992,1170882.82818778,33700.0,0.02817702950778002
75103,32992,1170882.82818778,35540.0,0.02817702950778002
75103,32992,1170882.82818778,29390.0,0.02817702950778002
75103,32992,1170882.82818778,36390.0,0.02817702950778002
75103,32992,1170882.82818778,34370.0,0.02817702950778002
75103,32992,1170882.82818778,40020.0,0.02817702950778002
75103,32992,1170882.82818778,39940.0,0.02817702950778002
75103,32992,1170882.82818778,39400.0,0.02817702950778002
75103,32992,1170882.82818778,39900.0,0.02817702950778002
75103,32992,1170882.82818778,44690.0,0.02817702950778002
75103,32992,1170882.82818778,39640.0,0.02817702950778002
75103,32992,1170882.82818778,41360.0,0.02817702950778002
75103,32992,1170882.82818778,34330.0,0.02817702950778002
75103,32992,1170882.82818778,34320.0,0.02817702950778002
75103,32992,1170882.82818778,32470.0,0.02817702950778002
75103,32992,1170882.82818778,31560.0,0.02817702950778002
75104,28293,1600585.63150251,36630.0,0.0176766549962345
75104,28293,1600585.63150251,36130.0,0.0176766549962345
75104,28293,1600585.63150251,32930.0,0.0176766549962345
75104,28293,1600585.63150251,25580.0,0.0176766549962345
75104,28293,1600585.63150251,32950.0,0.0176766549962345
75104,28293,1600585.63150251,34950.0,0.0176766549962345
75104,28293,1600585.63150251,33630.0,0.0176766549962345
75104,28293,1600585.63150251,30950.0,0.0176766549962345
75104,28293,1600585.63150251,38800.0,0.0176766549962345
75104,28293,1600585.63150251,43100.0,0.0176766549962345
75104,28293,1600585.63150251,39250.0,0.0176766549962345
75104,28293,1600585.63150251,42940.0,0.0176766549962345
75105,56578,2539374.62284532,36470.0,0.02228028881244999
75105,56578,2539374.62284532,39500.0,0.02228028881244999
75105,56578,2539374.62284532,34080.0,0.02228028881244999
75105,56578,2539374.62284532,39420.0,0.02228028881244999
75105,56578,2539374.62284532,40140.0,0.02228028881244999
75105,56578,2539374.62284532,40060.0,0.02228028881244999
75105,56578,2539374.62284532,35770.0,0.02228028881244999
75105,56578,2539374.62284532,35400.0,0.02228028881244999
75105,56578,2539374.62284532,30050.0,0.02228028881244999
75105,56578,2539374.62284532,32040.0,0.02228028881244999
75105,56578,2539374.62284532,31840.0,0.02228028881244999
75105,56578,2539374.62284532,32930.0,0.02228028881244999
75105,56578,2539374.62284532,40380.0,0.02228028881244999
75105,56578,2539374.62284532,38940.0,0.02228028881244999
75105,56578,2539374.62284532,40900.0,0.02228028881244999
75105,56578,2539374.62284532,41260.0,0.02228028881244999
75105,56578,2539374.62284532,48480.0,0.02228028881244999
75105,56578,2539374.62284532,54490.0,0.02228028881244999
75105,56578,2539374.62284532,40590.0,0.02228028881244999
75105,56578,2539374.62284532,38150.0,0.02228028881244999
75105,56578,2539374.62284532,37760.0,0.02228028881244999
75105,56578,2539374.62284532,33760.0,0.02228028881244999
75105,56578,2539374.62284532,44630.0,0.02228028881244999
75105,56578,2539374.62284532,32650.0,0.02228028881244999
75105,56578,2539374.62284532,37580.0,0.02228028881244999
75106,41209,2153095.58639283,45020.0,0.019139419661827063
75106,41209,2153095.58639283,35630.0,0.019139419661827063
75106,41209,2153095.58639283,37950.0,0.019139419661827063
75106,41209,2153095.58639283,53840.0,0.019139419661827063
75106,41209,2153095.58639283,49070.0,0.019139419661827063
75106,41209,2153095.58639283,40810.0,0.019139419661827063
75106,41209,2153095.58639283,43410.0,0.019139419661827063
75106,41209,2153095.58639283,52170.0,0.019139419661827063
75106,41209,2153095.58639283,54100.0,0.019139419661827063
75106,41209,2153095.58639283,47530.0,0.019139419661827063
75106,41209,2153095.58639283,55080.0,0.019139419661827063
75106,41209,2153095.58639283,49480.0,0.019139419661827063
75106,41209,2153095.58639283,47530.0,0.019139419661827063
75106,41209,2153095.58639283,46240.0,0.019139419661827063
75106,41209,2153095.58639283,43520.0,0.019139419661827063
75106,41209,2153095.58639283,38730.0,0.019139419661827063
75106,41209,2153095.58639283,46460.0,0.019139419661827063
75106,41209,2153095.58639283,52690.0,0.019139419661827063
75106,41209,2153095.58639283,42460.0,0.019139419661827063
75106,41209,2153095.58639283,42230.0,0.019139419661827063
75107,48898,4090057.18546976,58940.0,0.011955334065673671
75107,48898,4090057.18546976,56410.0,0.011955334065673671
75107,48898,4090057.18546976,51770.0,0.011955334065673671
75107,48898,4090057.18546976,50740.0,0.011955334065673671
75107,48898,4090057.18546976,47800.0,0.011955334065673671
75107,48898,4090057.18546976,50600.0,0.011955334065673671
75107,48898,4090057.18546976,52930.0,0.011955334065673671
75107,48898,4090057.18546976,54680.0,0.011955334065673671
