id_mutation;code_commune;annee;valeur_fonciere;type_local;surface_reelle_bati;nombre_pieces_principales;prix_m2
2020-814620;75108;2020;780000.0;Appartement;60.0;3.0;13000.0
2020-814621;75108;2020;1192620.0;Appartement;91.0;4.0;13105.714285714286
2020-814623;75103;2020;308569.1;Appartement;72.0;3.0;4285.6819444444445
2020-814626;75103;2020;320000.0;Appartement;24.0;1.0;13333.333333333334
2020-814627;75101;2020;605000.0;Appartement;48.0;1.0;12604.166666666666
2020-814628;75108;2020;1444650.0;Appartement;98.0;3.0;14741.326530612245
2020-814630;75108;2020;529616.0;Appartement;40.0;2.0;13240.4
2020-814632;75108;2020;3500000.0;Maison;280.0;7.0;12500.0
2020-814633;75103;2020;580000.0;Appartement;38.0;1.0;15263.157894736842
2020-814634;75108;2020;400000.0;Appartement;61.0;2.0;6557.377049180328
2020-814635;75103;2020;960000.0;Appartement;65.0;2.0;14769.23076923077
2020-814636;75103;2020;4300000.0;Appartement;60.0;3.0;71666.66666666667
2020-814636;75103;2020;4300000.0;Appartement;55.0;3.0;78181.81818181818
2020-814636;75103;2020;4300000.0;Appartement;35.0;2.0;122857.14285714286
2020-814636;75103;2020;4300000.0;Appartement;26.0;2.0;165384.61538461538
2020-814636;75103;2020;4300000.0;Appartement;70.0;3.0;61428.57142857143
2020-814636;75103;2020;4300000.0;Appartement;33.0;1.0;130303.0303030303
2020-814636;75103;2020;4300000.0;Appartement;13.0;1.0;330769.23076923075
2020-814636;75103;2020;4300000.0;Appartement;48.0;2.0;89583.33333333333
2020-814638;75103;2020;280000.0;Appartement;18.0;1.0;15555.555555555555
2020-814639;75108;2020;671000.0;Appartement;55.0;2.0;12200.0
2020-814640;75108;2020;3600000.0;Appartement;141.0;4.0;25531.91489361702
2020-814641;75103;2020;520000.0;Appartement;49.0;2.0;10612.244897959185
2020-814644;75108;2020;500.0;Appartement;70.0;2.0;7.142857142857143
2020-814645;75108;2020;2462500.0;Appartement;43.0;2.0;57267.441860465115
2020-814645;75108;2020;2462500.0;Appartement;190.0;5.0;12960.526315789473
2020-814647;75108;2020;670000.0;Appartement;72.0;2.0;9305.555555555555
2020-814649;75108;2020;1340000.0;Appartement;95.0;3.0;14105.263157894737
2020-814650;75103;2020;824300.0;Appartement;49.0;3.0;16822.448979591838
2020-814652;75108;2020;360000.0;Appartement;23.0;2.0;15652.173913043478
2020-814653;75108;2020;15000.0;Appartement;32.0;1.0;468.75
2020-814654;75108;2020;35000.0;Appartement;95.0;4.0;368.42105263157896
2020-814655;75103;2020;242429.0;Appartement;50.0;2.0;4848.58
2020-814656;75108;2020;404570.0;Appartement;35.0;2.0;11559.142857142857
2020-814657;75101;2020;331990.0;Appartement;32.0;1.0;10374.6875
2020-814658;75103;2020;570000.0;Appartement;45.0;3.0;12666.666666666666
2020-814659;75103;2020;90000.0;Appartement;14.0;1.0;6428.571428571428
2020-814660;75101;2020;593000.0;Appartement;51.0;1.0;11627.450980392157
2020-814661;75101;2020;279000.0;Appartement;18.0;1.0;15500.0
2020-814662;75108;2020;110000.0;Appartement;17.0;1.0;6470.588235294118
2020-814663;75101;2020;233644.0;Appartement;24.0;2.0;9735.166666666666
2020-814666;75103;2020;1500.0;Appartement;45.0;2.0;33.333333333333336
2020-814666;75103;2020;1500.0;Appartement;42.0;2.0;35.714285714285715
2020-814667;75103;2020;1530000.0;Appartement;42.0;1.0;36428.57142857143
2020-814667;75103;2020;1530000.0;Appartement;46.0;2.0;33260.86956521739
2020-814668;75103;2020;990000.0;Appartement;80.0;3.0;12375.0
2020-814669;75108;2020;1800000.0;Appartement;127.0;5.0;14173.228346456694
2020-814671;75103;2020;236000.0;Appartement;27.0;1.0;8740.74074074074
2020-814672;75108;2020;1731000.0;Appartement;160.0;4.0;10818.75
2020-814673;75108;2020;2690000.0;Appartement;145.0;4.0;18551.724137931036
2020-814674;75108;2020;730000.0;Appartement;78.0;3.0;9358.97435897436
2020-814677;75101;2020;585000.0;Appartement;50.0;2.0;11700.0
2020-814678;75101;2020;477000.0;Appartement;34.0;2.0;14029.411764705883
2020-814681;75101;2020;1705000.0;Appartement;134.0;6.0;12723.880597014926
2020-814682;75103;2020;465000.0;Appartement;30.0;2.0;15500.0
2020-814683;75108;2020;1760000.0;Appartement;120.0;3.0;14666.666666666666
2020-814684;75101;2020;296755.0;Appartement;20.0;1.0;14837.75
2020-814688;75103;2020;1604000.0;Appartement;95.0;5.0;16884.21052631579
2020-814690;75101;2020;317853.0;Appartement;35.0;1.0;9081.514285714286
2020-814691;75103;2020;265000.0;Appartement;36.0;2.0;7361.111111111111
2020-814692;75108;2020;575000.0;Appartement;86.0;4.0;6686.046511627907
2020-814693;75108;2020;555000.0;Appartement;86.0;4.0;6453.488372093023
2020-814696;75108;2020;1300000.0;Appartement;104.0;4.0;12500.0
2020-814698;75108;2020;1340000.0;Appartement;131.0;6.0;10229.007633587786
2020-814700;75103;2020;2465000.0;Appartement;137.0;2.0;17992.700729927008
2020-814701;75103;2020;170000.0;Appartement;17.0;1.0;10000.0
2020-814703;75108;2020;645000.0;Appartement;50.0;2.0;12900.0
2020-814704;75101;2020;470000.0;Appartement;19.0;1.0;24736.842105263157
2020-814706;75108;2020;702000.0;Appartement;23.0;1.0;30521.739130434784
2020-814706;75108;2020;702000.0;Appartement;52.0;0.0;13500.0
2020-814707;75108;2020;385000.0;Appartement;28.0;1.0;13750.0
2020-814708;75108;2020;1155000.0;Appartement;91.0;4.0;12692.307692307691
2020-814709;75108;2020;604480.0;Appartement;44.0;2.0;13738.181818181818
2020-814711;75103;2020;118000.0;Appartement;10.0;1.0;11800.0
2020-814712;75108;2020;330000.0;Appartement;35.0;1.0;9428.57142857143
2020-814714;75108;2020;1260000.0;Appartement;110.0;4.0;11454.545454545454
2020-814718;75101;2020;3250000.0;Appartement;35.0;2.0;92857.14285714286
2020-814718;75101;2020;3250000.0;Appartement;14.0;1.0;232142.85714285713
2020-814718;75101;2020;3250000.0;Appartement;50.0;3.0;65000.0
2020-814718;75101;2020;3250000.0;Appartement;48.0;3.0;67708.33333333333
2020-814718;75101;2020;3250000.0;Appartement;17.0;1.0;191176.4705882353
2020-814718;75101;2020;3250000.0;Appartement;22.0;1.0;147727.27272727274
2020-814719;75103;2020;337650.0;Appartement;26.0;2.0;12986.538461538461
2020-814721;75108;2020;1875000.0;Appartement;156.0;3.0;12019.23076923077
2020-814722;75108;2020;567000.0;Appartement;45.0;2.0;12600.0
2020-814723;75103;2020;381000.0;Appartement;32.0;2.0;11906.25
2020-814725;75108;2020;789800.0;Appartement;52.0;2.0;15188.461538461539
2020-814726;75108;2020;2330097.0;Appartement;170.0;6.0;13706.45294117647
2020-814727;75108;2020;600000.0;Appartement;53.0;2.0;11320.754716981131
2020-814728;75101;2020;5300000.0;Appartement;195.0;5.0;27179.48717948718
2020-814729;75108;2020;675110.0;Appartement;54.0;3.0;12502.037037037036
2020-814730;75108;2020;750000.0;Appartement;61.0;3.0;12295.081967213115
2020-814731;75108;2020;1475000.0;Appartement;88.0;4.0;16761.363636363636
2020-814732;75103;2020;150000.0;Appartement;15.0;1.0;10000.0
2020-814737;75103;2020;427200.0;Appartement;120.0;3.0;3560.0
2020-814742;75103;2020;390000.0;Appartement;32.0;1.0;12187.5
2020-814743;75101;2020;2050000.0;Appartement;100.0;3.0;20500.0
2020-814744;75101;2020;9834797.0;Appartement;60.0;2.0;163913.28333333333
2020-814744;75101;2020;9834797.0;Appartement;53.0;1.0;185562.20754716982
2020-814744;75101;2020;9834797.0;Appartement;100.0;4.0;98347.97
2020-814745;75103;2020;1660000.0;Appartement;135.0;5.0;12296.296296296296
2020-814746;75103;2020;1068520.0;Appartement;73.0;4.0;14637.260273972603
2020-814748;75108;2020;2120850.0;Appartement;146.0;5.0;14526.369863013699
2020-814750;75103;2020;235000.0;Appartement;21.0;1.0;11190.47619047619
2020-814752;75103;2020;187750.0;Appartement;55.0;2.0;3413.6363636363635
2020-814753;75108;2020;900000.0;Appartement;71.0;2.0;12676.05633802817
2020-814754;75108;2020;601850.0;Appartement;50.0;3.0;12037.0
2020-814755;75108;2020;167000.0;Appartement;11.0;1.0;15181.818181818182
2020-814756;75103;2020;625000.0;Appartement;50.0;2.0;12500.0
2020-814757;75103;2020;450000.0;Appartement;51.0;3.0;8823.529411764706
2020-814758;75103;2020;780640.0;Appartement;84.0;4.0;9293.333333333334
2020-814762;75108;2020;910000.0;Appartement;80.0;3.0;11375.0
2020-814763;75108;2020;409750.0;Appartement;34.0;3.0;12051.470588235294
2020-814764;75108;2020;421000.0;Appartement;26.0;1.0;16192.307692307691
2020-814765;75101;2020;190000.0;Appartement;19.0;1.0;10000.0
2020-814766;75103;2020;695000.0;Appartement;60.0;3.0;11583.333333333334
2020-814767;75108;2020;206000.0;Appartement;14.0;1.0;14714.285714285714
2020-814770;75103;2020;762000.0;Appartement;58.0;1.0;13137.931034482759
2020-814772;75103;2020;238000.0;Appartement;14.0;1.0;17000.0
2020-814773;75101;2020;710000.0;Appartement;44.0;2.0;16136.363636363636
2020-814774;75108;2020;275000.0;Appartement;16.0;1.0;17187.5
2020-814776;75103;2020;407200.0;Appartement;28.0;2.0;14542.857142857143
2020-814777;75103;2020;280000.0;Appartement;21.0;1.0;13333.333333333334
2020-814778;75103;2020;400000.0;Appartement;33.0;1.0;12121.212121212122
2020-814779;75108;2020;1549120.0;Appartement;152.0;6.0;10191.578947368422
2020-814780;75103;2020;180000.0;Appartement;17.0;1.0;10588.235294117647
2020-814781;75103;2020;325000.0;Appartement;21.0;1.0;15476.190476190477
2020-814782;75101;2020;772300.0;Appartement;63.0;3.0;12258.730158730159
2020-814785;75103;2020;270000.0;Appartement;25.0;1.0;10800.0
2020-814786;75103;2020;750000.0;Appartement;52.0;2.0;14423.076923076924
2020-814787;75101;2020;439000.0;Appartement;23.0;1.0;19086.956521739132
2020-814788;75103;2020;299500.0;Appartement;20.0;1.0;14975.0
2020-814789;75108;2020;285000.0;Appartement;45.0;2.0;6333.333333333333
2020-814790;75103;2020;200000.0;Appartement;20.0;1.0;10000.0
2020-814792;75108;2020;1230000.0;Appartement;130.0;4.0;9461.538461538461
2020-814793;75108;2020;232000.0;Appartement;17.0;1.0;13647.058823529413
2020-814794;75103;2020;230000.0;Appartement;20.0;1.0;11500.0
2020-814795;75103;2020;255000.0;Appartement;20.0;1.0;12750.0
2020-814796;75103;2020;362000.0;Appartement;26.0;1.0;13923.076923076924
2020-814797;75103;2020;307692.3;Appartement;21.0;2.0;14652.014285714286
2020-814797;75103;2020;307692.3;Appartement;12.0;1.0;25641.024999999998
2020-814798;75101;2020;1362000.0;Appartement;70.0;4.0;19457.14285714286
