code_commune;annee;prix_m2_median;transactions_studio_t1;transactions_t2;transactions_t3;transactions_t4;transactions_t5_plus;transactions_total;part_studio_t1;part_t2;part_t3;part_t4;part_t5_plus;transactions_surface_bt_20_40;transactions_surface_bt_40_60;transactions_surface_bt_60_80;transactions_surface_bt_80_120;transactions_surface_gt_120;transactions_surface_lt_20;part_surface_lt_20;part_surface_bt_20_40;part_surface_bt_40_60;part_surface_bt_60_80;part_surface_bt_80_120;part_surface_gt_120;prix_m2_median_prev_year;variation;revenu_median;tx_logement_sociaux;no2;o3;pm10;qual_no2;qual_o3;qual_pm10;air_quality_global;densite_population
75117;2024;10125.0;688;856;571;260;186;2561;26.86;33.42;22.3;10.15;7.26;814;611;334;284;173;345;13.47;31.78;23.86;13.04;11.09;6.76;10942.307692307691;-7.47;41250.0;;16;27;9;Bon;Bon;Bon;Bon;28662.32906823087
75117;2025;10323.333333333334;315;371;230;122;75;1113;28.3;33.33;20.66;10.96;6.74;353;264;152;129;71;144;12.94;31.72;23.72;13.66;11.59;6.38;10125.0;1.96;41250.0;;16;27;9;Bon;Bon;Bon;Bon;28662.32906823087
75118;2020;10555.555555555557;515;807;420;121;29;1892;27.22;42.65;22.2;6.4;1.53;818;468;211;106;23;266;14.06;43.23;24.74;11.15;5.6;1.22;;;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75118;2021;10403.225806451614;1057;1692;875;249;78;3951;26.75;42.82;22.15;6.3;1.97;1747;1015;387;250;43;509;12.88;44.22;25.69;9.79;6.33;1.09;10555.555555555557;-1.44;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75118;2022;10238.09523809524;1087;1926;965;292;83;4353;24.97;44.25;22.17;6.71;1.91;1930;1134;445;273;44;527;12.11;44.34;26.05;10.22;6.27;1.01;10403.225806451614;-1.59;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75118;2023;9571.456011730206;983;1441;727;202;65;3418;28.76;42.16;21.27;5.91;1.9;1534;810;363;201;29;481;14.07;44.88;23.7;10.62;5.88;0.85;10238.09523809524;-6.51;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75118;2024;8788.653679653678;884;1172;588;172;50;2866;30.84;40.89;20.52;6.0;1.74;1272;707;251;171;26;439;15.32;44.38;24.67;8.76;5.97;0.91;9571.456011730206;-8.18;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75118;2025;9005.31914893617;356;528;318;86;27;1315;27.07;40.15;24.18;6.54;2.05;559;306;156;87;17;190;14.45;42.51;23.27;11.86;6.62;1.29;8788.653679653678;2.47;26375.0;;16;28;9;Bon;Bon;Bon;Bon;31110.64105595813
75119;2020;9393.939393939394;240;375;221;90;25;951;25.24;39.43;23.24;9.46;2.63;330;270;147;84;17;103;10.83;34.7;28.39;15.46;8.83;1.79;;;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75119;2021;9576.340326340327;557;844;496;176;63;2136;26.08;39.51;23.22;8.24;2.95;808;589;316;199;24;200;9.36;37.83;27.57;14.79;9.32;1.12;9393.939393939394;1.94;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75119;2022;9346.153846153846;593;820;528;193;59;2193;27.04;37.39;24.08;8.8;2.69;783;620;330;209;29;222;10.12;35.7;28.27;15.05;9.53;1.32;9576.340326340327;-2.4;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75119;2023;8888.888888888889;551;685;424;150;49;1859;29.64;36.85;22.81;8.07;2.64;682;519;268;145;23;222;11.94;36.69;27.92;14.42;7.8;1.24;9346.153846153846;-4.89;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75119;2024;7985.0;420;589;344;134;46;1533;27.4;38.42;22.44;8.74;3.0;563;437;237;130;14;152;9.92;36.73;28.51;15.46;8.48;0.91;8888.888888888889;-10.17;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75119;2025;8170.731707317073;189;221;127;54;16;607;31.14;36.41;20.92;8.9;2.64;229;160;80;62;7;69;11.37;37.73;26.36;13.18;10.21;1.15;7985.0;2.33;21960.0;;17;27;9;Bon;Bon;Bon;Bon;26388.37128467241
75120;2020;9750.0;296;434;265;88;21;1104;26.81;39.31;24.0;7.97;1.9;446;313;160;70;8;107;9.69;40.4;28.35;14.49;6.34;0.72;;;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
75120;2021;9818.30985915493;636;883;586;191;69;2365;26.89;37.34;24.78;8.08;2.92;881;667;339;203;38;237;10.02;37.25;28.2;14.33;8.58;1.61;9750.0;0.7;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
75120;2022;9476.862745098038;704;979;617;212;63;2575;27.34;38.02;23.96;8.23;2.45;994;688;402;197;30;264;10.25;38.6;26.72;15.61;7.65;1.17;9818.30985915493;-3.48;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
75120;2023;8860.526315789473;619;741;447;180;50;2037;30.39;36.38;21.94;8.84;2.45;765;534;297;151;34;256;12.57;37.56;26.22;14.58;7.41;1.67;9476.862745098038;-6.5;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
75120;2024;8397.247360482655;580;812;412;146;54;2004;28.94;40.52;20.56;7.29;2.69;824;513;295;156;18;198;9.88;41.12;25.6;14.72;7.78;0.9;8860.526315789473;-5.23;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
75120;2025;8442.857142857143;244;315;177;77;30;843;28.94;37.37;21.0;9.13;3.56;329;209;120;80;12;93;11.03;39.03;24.79;14.23;9.49;1.42;8397.247360482655;0.54;23520.0;;17;26;9;Bon;Bon;Bon;Bon;31516.11944490467
