Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;evolution_prix_2020_2021_pct;evolution_prix_2021_2022_pct;evolution_prix_2022_2023_pct;evolution_prix_2023_2024_pct;evolution_prix_2024_2025_pct;evolution_prix_m2_2020_2021_pct;evolution_prix_m2_2021_2022_pct;evolution_prix_m2_2022_2023_pct;evolution_prix_m2_2023_2024_pct;evolution_prix_m2_2024_2025_pct;evolution_volume_2020_2021_pct;evolution_volume_2021_2022_pct;evolution_volume_2022_2023_pct;evolution_volume_2023_2024_pct;evolution_volume_2024_2025_pct;tendance_prix_m2;evolution_annuelle_moyenne_pct;volatilite_prix_m2;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;estimation_logement_social_pct;nb_stations_metro;trafic_total_metro;nb_lignes_metro;nb_lignes_rer;lignes_metro;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2018;nb_menages_2018;nb_logements_2018;prix_m2_stats_2020;type_dominant_2020;nb_appartement_2020;pct_appartement_2020;nb_local_industriel_commercial_ou_assimilé_2020;pct_local_industriel_commercial_ou_assimilé_2020;nb_dépendance_2020;pct_dépendance_2020;type_dominant_2021;nb_appartement_2021;pct_appartement_2021;nb_local_industriel_commercial_ou_assimilé_2021;pct_local_industriel_commercial_ou_assimilé_2021;nb_dépendance_2021;pct_dépendance_2021;type_dominant_2022;nb_appartement_2022;pct_appartement_2022;nb_dépendance_2022;pct_dépendance_2022;nb_local_industriel_commercial_ou_assimilé_2022;pct_local_industriel_commercial_ou_assimilé_2022;type_dominant_2023;nb_appartement_2023;pct_appartement_2023;nb_dépendance_2023;pct_dépendance_2023;nb_local_industriel_commercial_ou_assimilé_2023;pct_local_industriel_commercial_ou_assimilé_2023;type_dominant_2024;nb_appartement_2024;pct_appartement_2024;nb_local_industriel_commercial_ou_assimilé_2024;pct_local_industriel_commercial_ou_assimilé_2024;nb_dépendance_2024;pct_dépendance_2024;type_dominant_2025;nb_appartement_2025;pct_appartement_2025;nb_dépendance_2025;pct_dépendance_2025;nb_local_industriel_commercial_ou_assimilé_2025;pct_local_industriel_commercial_ou_assimilé_2025;nb_maison_2021;pct_maison_2021;nb_maison_2022;pct_maison_2022;nb_maison_2023;pct_maison_2023;nb_maison_2024;pct_maison_2024;nb_maison_2025;pct_maison_2025;nb_maison_2020;pct_maison_2020
1;386;1139060;13511;896;1035000;13514;1090;1060886;13714;877;760000;13341;882;560000;12586;307;565000;12491;-50.8;-6.8;-9.1;2.5;-28.4;-26.3;0.9;0.0;1.5;-2.7;-5.7;-0.8;132.1;21.7;-19.5;0.6;-65.2;Stable;-1.5;2.5;409;0;100.0;2.6;Faible (<10%);8;57295153;6;2;1, 4, 7, 14, 11.0, 14.0;A, B;34.6;31.4;37.0;Moyenne;2175601;1140772;1386846;12404;Appartement;218;56.5;111;28.8;57;14.8;Appartement;469;52.3;244;27.2;182;20.3;Appartement;534;49.0;317;29.1;228;20.9;Appartement;422;48.1;240;27.4;147;16.8;Appartement;401;45.5;240;27.2;236;26.8;Appartement;148;48.2;86;28.0;73;23.8;;;;;;;;;;;;
2;526;420000;12647;1141;505000;12077;1228;607000;12115;1027;575240;11969;1125;659228;11444;428;680000;11666;57.0;-9.5;20.2;20.2;-5.2;14.6;3.2;-4.5;0.3;-1.2;-4.4;1.9;116.9;7.6;-16.4;9.5;-62.0;Stable;-1.6;2.6;511;0;100.0;2.1;Faible (<10%);4;10127675;4;0;3, 4, 8, 9;nan;35.2;32.0;37.4;Moyenne;2175601;1140772;1386846;11403;Appartement;299;56.8;185;35.2;42;8.0;Appartement;647;56.7;289;25.3;204;17.9;Appartement;626;51.0;317;25.8;265;21.6;Appartement;537;52.3;222;21.6;264;25.7;Appartement;502;44.6;356;31.6;265;23.6;Appartement;231;54.0;84;19.6;112;26.2;;;;;;;;;;;;
3;596;494450;12948;1610;650000;12849;1805;600000;12869;1647;588000;12526;1528;620000;12000;606;514625;12115;25.4;-7.3;31.5;-7.7;-2.0;5.4;-17.0;-0.8;0.2;-2.7;-4.2;1.0;170.1;12.1;-8.8;-7.2;-60.3;Stable;-1.3;1.9;816;0;100.0;2.2;Faible (<10%);6;12577486;4;0;3, 4, 8, 11;nan;35.1;31.8;37.4;Moyenne;2175601;1140772;1386846;11694;Appartement;431;72.3;74;12.4;90;15.1;Appartement;930;57.8;245;15.2;432;26.8;Appartement;1001;55.5;561;31.1;238;13.2;Appartement;861;52.3;567;34.4;219;13.3;Appartement;802;52.5;263;17.2;463;30.3;Appartement;333;55.0;202;33.3;69;11.4;2.0;0.1;;;;;;;;;;
4;570;650000;13944;1192;672073;13566;1865;865000;13420;1275;577884;13506;1189;600910;12932;579;636760;12994;-7.6;-7.3;3.4;28.7;-33.2;4.0;6.0;-2.7;-1.1;0.6;-4.2;0.5;109.1;56.5;-31.6;-6.7;-51.3;Stable;-1.4;1.9;656;0;100.0;2.5;Faible (<10%);6;15966790;4;0;1, 4, 7, 11;nan;35.3;31.8;37.5;Moyenne;2175601;1140772;1386846;12150;Appartement;398;69.8;74;13.0;98;17.2;Appartement;629;52.8;125;10.5;432;36.2;Appartement;898;48.2;752;40.3;161;8.6;Appartement;637;50.0;495;38.8;137;10.7;Appartement;651;54.8;96;8.1;438;36.8;Appartement;299;51.6;236;40.8;42;7.3;;;1.0;0.1;;;;;;;;
5;664;520000;12933;1769;539000;13000;2335;549884;13166;2203;625000;12716;1914;520000;12000;770;545000;11773;0.0;-7.2;3.7;2.0;13.7;-16.8;4.8;0.5;1.3;-3.4;-5.6;-1.9;166.4;32.0;-5.7;-13.1;-59.8;Stable;-1.8;2.5;1024;1;99.9;2.3;Faible (<10%);7;16253720;3;1;4, 7, 10;B;34.5;31.6;37.5;Moyenne;2175601;1140772;1386846;11965;Appartement;489;73.6;65;9.8;108;16.3;Appartement;1048;59.2;133;7.5;577;32.6;Appartement;1210;51.8;935;40.0;185;7.9;Appartement;1156;52.5;892;40.5;151;6.9;Appartement;1010;52.8;113;5.9;776;40.5;Appartement;384;49.9;298;38.7;83;10.8;6.0;0.3;4.0;0.2;1.0;0.0;1.0;0.1;2.0;0.3;;
6;830;855250;15425;2129;1060000;15843;2673;1050500;15485;2295;800000;15486;1955;775000;14981;733;719000;14957;-9.4;-2.9;23.9;-0.9;-23.8;-3.1;-7.2;2.7;-2.3;0.0;-3.3;-0.2;156.5;25.6;-14.1;-14.8;-62.5;Stable;-0.6;2.1;1006;2;99.8;2.7;Faible (<10%);9;17494023;4;0;4, 7, 10, 12;nan;34.1;31.4;37.4;Moyenne;2175601;1140772;1386846;13930;Appartement;489;58.9;136;16.4;199;24.0;Appartement;1172;55.0;168;7.9;786;36.9;Appartement;1211;45.3;1027;38.4;430;16.1;Appartement;986;43.0;882;38.4;423;18.4;Appartement;990;50.6;161;8.2;796;40.7;Appartement;364;49.7;304;41.5;58;7.9;3.0;0.1;3.0;0.1;3.0;0.1;2.0;0.1;;;2.0;0.2
7;951;1023895;14950;2651;1150000;15119;3775;1200000;15517;2820;1015000;15235;2629;1052200;14620;1246;1095000;15162;2.8;-2.2;12.3;4.3;-15.4;3.7;4.1;1.1;2.6;-1.8;-4.0;3.7;178.8;42.4;-25.3;-6.8;-52.6;Stable;0.3;2.9;1169;5;99.6;3.0;Faible (<10%);11;19713267;4;0;8, 10, 12, 13;nan;34.9;31.6;37.3;Moyenne;2175601;1140772;1386846;13968;Appartement;504;53.0;83;8.7;362;38.1;Appartement;1251;47.2;174;6.6;1218;45.9;Dépendance;1611;42.7;1947;51.6;207;5.5;Dépendance;1215;43.1;1443;51.2;159;5.6;Dépendance;1161;44.2;191;7.3;1272;48.4;Dépendance;580;46.5;586;47.0;76;6.1;5.0;0.2;8.0;0.2;2.0;0.1;4.0;0.2;2.0;0.2;1.0;0.1
8;1134;633550;13208;2721;852000;13222;3403;1095000;13137;2397;880000;13272;2797;770000;12500;1022;849000;12318;21.5;-5.4;34.5;28.5;-19.6;-12.5;10.3;0.1;-0.6;1.0;-5.8;-1.5;139.9;25.1;-29.6;16.7;-63.5;Stable;-1.4;2.4;961;1;99.9;3.0;Faible (<10%);15;72710440;12;0;1, 2, 3, 6, 8, 9, 12, 13, 14, 13.0, 14.0, 3bis;nan;36.0;32.0;37.4;Moyenne;2175601;1140772;1386846;11731;Appartement;486;42.9;271;23.9;372;32.8;Dépendance;1002;36.8;690;25.4;1019;37.4;Dépendance;1085;31.9;1263;37.1;1029;30.2;Dépendance;777;32.4;1044;43.6;561;23.4;Dépendance;946;33.8;705;25.2;1140;40.8;Dépendance;377;36.9;471;46.1;172;16.8;1.0;0.0;;;2.0;0.1;1.0;0.0;1.0;0.1;2.0;0.2
9;1122;560000;12504;3651;716150;12000;3762;664000;11981;2582;540000;11459;2718;570000;10712;1341;466826;10799;1.8;-14.3;27.9;-7.3;-18.7;5.6;-18.1;-4.0;-0.2;-4.4;-6.5;0.8;225.4;3.0;-31.4;5.3;-50.7;Baisse modérée;-2.9;2.7;1382;1;99.9;2.4;Faible (<10%);14;45890724;7;1;2, 3, 6, 7, 8, 9, 12;A;35.2;31.6;37.6;Moyenne;2175601;1140772;1386846;11069;Appartement;715;63.7;213;19.0;189;16.8;Appartement;1762;48.3;594;16.3;1267;34.7;Appartement;1817;48.3;1418;37.7;503;13.4;Appartement;1231;47.7;1018;39.4;324;12.5;Appartement;1369;50.4;352;13.0;988;36.4;Appartement;610;45.5;493;36.8;238;17.7;18.0;0.5;3.0;0.1;;;1.0;0.0;;;;
10;1489;428000;11101;3874;424750;10933;5868;710000;10714;3667;410000;10119;3428;448472;9373;1397;387917;9485;4.8;-15.6;-0.8;67.2;-42.3;9.4;-13.5;-1.5;-2.0;-5.6;-7.4;1.2;160.2;51.5;-37.5;-6.5;-59.2;Baisse modérée;-3.0;3.0;1799;0;100.0;2.3;Faible (<10%);11;104734863;8;1;2, 4, 5, 7, 8, 9, 11, 7bis;B;36.1;32.3;38.1;Moyenne;2175601;1140772;1386846;9957;Appartement;1040;69.8;178;12.0;257;17.3;Appartement;2296;59.3;344;8.9;1232;31.8;Appartement;2935;50.0;2356;40.1;570;9.7;Appartement;1914;52.2;1382;37.7;367;10.0;Appartement;1787;52.1;264;7.7;1377;40.2;Appartement;698;50.0;531;38.0;167;12.0;;;;;;;;;;;;
